HISTOGRAMA DE IMAGEN
====================

Total de pixeles: 262144

HISTOGRAMA CANAL RED (R)
------------------------
Valor 241: 117 pixeles
Valor 242: 144 pixeles
Valor 243: 260 pixeles
Valor 244: 133 pixeles
Valor 245: 106 pixeles
Valor 246: 198 pixeles
Valor 247: 67 pixeles
Valor 248: 60 pixeles
Valor 249: 76 pixeles
Valor 250: 35 pixeles
Valor 251: 11 pixeles
Valor 252: 3 pixeles
